page	item	no	class	entry	tone	length	syllabary	translation-1	translation-2	translation-3	translation-4
1	1	1-1	affix	a-	0	.	0	third person animate	0	0	0
1	2	2-1	affix	a-	0	-	0	third person subject	0	0	0
1	3	3-1	affix	-a	0	-	0	present tense	0	0	0
1	4	4-1	noun	achuja	2.4	.--	ᎠᏧᏣ	boy	0	0	0
1	4	4-2	noun	anichuja	2.2.4	.---	ᎠᏂᏧᏣ	0	0	0	0
1	5	5-1	noun	achvya	2.2	.--	ᎠᏨᏯ	male (animal)	0	0	0
1	5	5-2	noun	anichvya	2.2.2	.---	ᎠᏂᏨᏯ	0	0	0	0
1	6	6-1	noun	ada	2	.-	ᎠᏓ	wood	0	0	0
1	7	7-1	noun	a?da	4	.-	ᎠᏓ	young animal (animal born in a litter or hatched)	0	0	0
1	7	7-2	noun	anida	2.4	.--	ᎠᏂᏓ	0	0	0	0
1	8	8-1	verb	adadega	1.2.3	-.--	ᎠᏓᏕᎦ	it's bouncing	0	0	0
1	8	8-2	verb	gadadega	2.2.3	..--	ᎦᏓᏕᎦ	0	0	0	0
1	8	8-3	verb	udadinvsv?i	1.2.23.32.23	-.----	ᎤᏓᏗᏅᏒᎢ	0	0	0	0
1	8	8-4	verb	adadego?i	1.2.3.3	-.---	ᎠᏓᏕᎪᎢ	0	0	0	0
1	8	8-5	verb	hadaduga	2.2.1	..--	ᎭᏓᏚᎦ	0	0	0	0
1	8	8-6	verb	udadinvdi	2.2.23.32	-.---	ᎤᏓᏗᏅᏗ	0	0	0	0
1	9	9-1	verb	adadega	1.2.3	-.--	ᎠᏓᏕᎦ	he's limping	0	0	0
1	9	9-2	verb	gadadega	2.2.3	..--	ᎦᏓᏕᎦ	0	0	0	0
1	9	9-3	verb	udadesv?i	1.2.3.23	-.---	ᎤᏓᏕᏒᎢ	0	0	0	0
1	9	9-4	verb	adadego?i	1.2.3.3	-.---	ᎠᏓᏕᎪᎢ	0	0	0	0
1	9	9-5	verb	hadaduga	2.2.1	..--	ᎭᏓᏚᎦ	0	0	0	0
1	9	9-6	verb	udadinvdi	2.2.23.32	-.---	ᎤᏓᏗᏅᏗ	0	0	0	0
1	10	10-1	verb	adadinvdiha	1.2.23.32.2	-.--.-	ᎠᏓᏗᏅᏗᎭ	he's bouncing it	0	0	0
1	10	10-2	verb	gadadinvdiha	2.2.23.32.2	..--.-	ᎦᏓᏗᏅᏗᎭ	0	0	0	0
1	10	10-3	verb	udadinvtanv?i	1.2.23.32.2.23	-.--.--	ᎤᏓᏗᏅᏔᏅᎢ	0	0	0	0
1	10	10-4	verb	adadinvdisgo?i	1.2.23.32.2.3	-.-----	ᎠᏓᏗᏅᏗᏍᎪᎢ	0	0	0	0
1	10	10-5	verb	hadadinvda	2.2.2.1	..---	ᎭᏓᏗᏅᏓ	0	0	0	0
1	10	10-6	verb	udadinvdohdi	2.2.23.32.2	-.----	ᎤᏓᏗᏅᏙᏗ	0	0	0	0
2	1	11-1	verb	adadlohiha	1.3.2.3	---.-	ᎠᏓᏠᎯᎭ	he's putting on a belt	0	0	0
2	1	11-2	verb	gadadlohiha	2.3.2.3	.--.-	ᎦᏓᏠᎯᎭ	0	0	0	0
2	1	11-3	verb	udadlohlv?i	1.3.2.23	-----	ᎤᏓᏠᏢᎢ	0	0	0	0
2	1	11-4	verb	adadlohiho?i	1.3.2.2.3	---.--	ᎠᏓᏠᎯᎰᎢ	0	0	0	0
2	1	11-5	verb	hadadloga	2.1.23	.---	ᎭᏓᏠᎦ	0	0	0	0
2	1	11-6	verb	udadlosdi	2.1.23	----	ᎤᏓᏠᏍᏗ	0	0	0	0
2	2	12-1	noun	adadlosdi	2.1.23	.---	ᎠᏓᏠᏍᏗ	belt	0	0	0
2	2	12-2	noun	didadlosdi	2.1.23	----	ᏗᏓᏠᏍᏗ	0	0	0	0
2	3	13-1	noun	adadolisdi	2.2.23.32	.----	ᎠᏓᏙᎵᏍᏗ	prayer	0	0	0
2	4	14-1	verb	adadolisdiha	1.2.23.32.2	----.-	ᎠᏓᏙᎵᏍᏗᎭ	he's praying	0	0	0
2	4	14-2	verb	gadadolisdiha	2.2.23.32.2	.---.-	ᎦᏓᏙᎵᏍᏗᎭ	0	0	0	0
2	4	14-3	verb	udadolistanv?i	1.2.23.32.2.23	----.--	ᎤᏓᏙᎵᏍᏔᏅᎢ	0	0	0	0
2	4	14-4	verb	adadolisdisgo?i	1.2.23.32.2.3	-------	ᎠᏓᏙᎵᏍᏓᏍᎪᎢ	0	0	0	0
2	4	14-5	verb	hadadolisda	2.2.2.1	.----	ᎭᏓᏙᎵᏍᏓ	0	0	0	0
2	4	14-6	verb	udadolisdohdi	2.2.23.32.2	------	ᎤᏓᏙᎵᏍᏙᏗ	0	0	0	0
2	5	15-1	adjective	adage?i	3.2.4	..--	ᎠᏓᎨᎢ	tender	very young, new	0	0
2	5	15-2	adjective	anidage?i	2.3.2.4	.-.--	ᎠᏂᏓᎨᎢ	0	0	0	0
2	6	16-1	noun	adageyhdi	2.2.2	.---	ᎠᏓᎨᏳᏗ	love	0	0	0
2	7	17-1	noun	adahihi	2.23.2	.-.-	ᎠᏓᎯᎯ	thing that kills	0	0	0
2	7	17-2	noun	anadahihi	2.2.23.2	..-.-	ᎠᎾᏓᎯᎯ	0	0	0	0
2	8	18-1	noun	adahlinesahldi	2.2.2.3.2	.-.---	ᎠᏓᏟᏁᏌᎵᏗ	purse	0	0	0
2	8	18-2	noun	didahlinesahldi	2.2.2.3.2	--.---	ᏗᏓᏟᏁᏌᎵᏗ	0	0	0	0
2	9	19-1	noun	adahnehdi	2.23.2	.---	ᎠᏓᏁᏗ	gift	0	0	0
2	9	19-2	noun	didahnehdi	2.23.2	----	ᏗᏓᏁᏗ	0	0	0	0
3	1	20-1	verb	adahnoyeha	1.2.3.2	-.-.-	ᎠᏓᏃᏰᎭ	he's fanning himself	0	0	0
3	1	20-2	verb	gadanoyeha	2.1.3.2	.--.-	ᎦᏓᏃᏰᎭ	0	0	0	0
3	1	20-3	verb	udahnoyehv?i	1.2.3.2.23	-.----	ᎤᏓᏃᏰᎲᎢ	0	0	0	0
3	1	20-4	verb	adahnoyesgo?i	1.2.3.2.3	-.----	ᎠᏓᏃᏰᏍᎪᎢ	0	0	0	0
3	1	20-5	verb	hadahnoyvla	2.2.2.23	..---	ᎭᏓᏃᏰᎳ	0	0	0	0
3	1	20-6	verb	udahnoyehdi	2.2.2.3	-.---	ᎤᏓᏃᏰᏗ	0	0	0	0
3	2	21-1	noun	adahnoyo	2.2.2	..--	ᎠᏓᏃᏲ	fan	0	0	0
3	2	21-2	noun	didahnoyo	2.2.2	-.--	ᏗᏓᏃᏲ	0	0	0	0
3	3	22-1	verb	adahwahtvhidoha	1.2.2.2.23.32	-------	ᎠᏓᏩᏛᎯᏙᎭ	he's visiting	0	0	0
3	3	22-2	verb	gadawahtvhidoha	2.1.2.2.23.32	.------	ᎦᏓᏩᏛᎯᏙᎭ	0	0	0	0
3	3	22-3	verb	udahwahtvhidolv?i	1.2.2.2.23.32.23	--------	ᎤᏓᏩᏛᎯᏙᎸᎢ	0	0	0	0
3	3	22-4	verb	adahwahtvhidoho?i	1.2.2.2.23.32.3	--------	ᎠᏓᏩᏛᎯᏙᎰᎢ	0	0	0	0
3	3	22-5	verb	hadahwahtvhida	2.2.2.2.23	.-----	ᎭᏓᏩᏛᎯᏓ	0	0	0	0
3	3	22-6	verb	udahwahtvhidasdi	2.2.2.2.23.32	-------	ᎤᏓᏩᏛᎯᏓᏍᏗ	0	0	0	0
3	4	23-1	verb	adahyasdiha	1.2.32.2	---.-	ᎠᏓᏯᏍᏗᎭ	he's stretching	0	0	0
3	4	23-2	verb	gadayasdiha	2.1.32.2	.--.-	ᎦᏓᏯᏍᏗᎭ	0	0	0	0
3	4	23-3	verb	udahyastanv?i	1.2.32.2.23	---.--	ᎤᏓᏯᏍᏔᏅᎢ	0	0	0	0
3	4	23-4	verb	adahyasdisgo?i	1.2.32.2.3	------	ᎠᏓᏯᏍᏗᏍᎪᎢ	0	0	0	0
3	4	23-5	verb	hadahyasda	2.2.1	.---	ᎭᏓᏯᏍᏓ	0	0	0	0
3	4	23-6	verb	udahyasdohdi	2.2.1.3	-----	ᎤᏓᏯᏍᏙᏗ	0	0	0	0
